audio_id,voice,label,label_id,text,intensity,cause,style,persona,turn_position,instruction,duration_sec,sample_rate,model,audio_path,ts
anger_04344,shimmer,anger,0,I've been on hold for over an hour! This is absolutely ridiculous-do you even care about your customers?,5,wait_time,explicit_anger,first_time_caller,escalation,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: very intense, almost explosive, on the edge of losing composure (5/5). Style: raise volume on emphatic words, tight clipped pacing. Persona: uncertain, maybe a bit nervous. Turn position: this turn is a clear escalation point. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.75,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_04344_shimmer.wav,1778107213.686524
anger_04501,nova,anger,0,"Look, this is the third time I've called about this, and nothing's been resolved-what is going on over there?",4,third_call,exasperated,regular_complainant,escalation,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: agitated and forceful, with sharp emphasis on key words (4/5). Style: audible sigh-like quality, tired delivery. Persona: knows the routine, less patient with formalities. Turn position: this turn is a clear escalation point. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.95,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_04501_nova.wav,1778107213.6875212
anger_02196,nova,anger,0,"I can't believe how rude that agent was-this is my first time calling, and I'm already regretting it.",3,rude_agent,exasperated,first_time_caller,closing,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: noticeably tense, with clear emotional weight (3/5). Style: audible sigh-like quality, tired delivery. Persona: uncertain, maybe a bit nervous. Turn position: this is near the end of the call. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.4,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_02196_nova.wav,1778107213.6885188
anger_02620,verse,anger,0,"Wow, I mean, I was hoping for some help, but if this is how you treat first-time callers, that's... interesting.",3,rude_agent,passive_aggressive,first_time_caller,opening,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: noticeably tense, with clear emotional weight (3/5). Style: even surface tone with sarcastic emphasis on key words. Persona: uncertain, maybe a bit nervous. Turn position: the call has just started. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",8.4,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_02620_verse.wav,1778107213.6905131
anger_03364,nova,anger,0,I've been on hold for over30 minutes-this is completely unacceptable! Do you even value your customers' time?,4,wait_time,exasperated,business_user,opening,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: agitated and forceful, with sharp emphasis on key words (4/5). Style: audible sigh-like quality, tired delivery. Persona: professional register, time-conscious. Turn position: the call has just started. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.95,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_03364_nova.wav,1778107215.4609685
anger_02266,verse,anger,0,"Wow, seriously? I've barely said hello, and you're already giving me attitude? Is this how you treat everyone?",5,rude_agent,passive_aggressive,young_informal,opening,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: very intense, almost explosive, on the edge of losing composure (5/5). Style: even surface tone with sarcastic emphasis on key words. Persona: younger speaker, contemporary informal English. Turn position: the call has just started. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",7.85,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_02266_verse.wav,1778107215.6315114
anger_00705,verse,anger,0,"Look, this is ridiculous-I've been over this already, and my bill is still wrong! Can someone actually fix this?",3,billing_error,explicit_anger,first_time_caller,escalation,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: noticeably tense, with clear emotional weight (3/5). Style: raise volume on emphatic words, tight clipped pacing. Persona: uncertain, maybe a bit nervous. Turn position: this turn is a clear escalation point. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",7.45,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_00705_verse.wav,1778107215.677389
anger_03159,shimmer,anger,0,"I've already explained this multiple times-your product is defective, and I need this resolved immediately. Escalate me to someone who can actually fix this.",5,product_defect,polite_but_firm,business_user,escalation,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: very intense, almost explosive, on the edge of losing composure (5/5). Style: controlled and measured, but with steel underneath. Persona: professional register, time-conscious. Turn position: this turn is a clear escalation point. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",10.2,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_03159_shimmer.wav,1778107215.6783862
anger_02197,shimmer,anger,0,"I can't believe I've had to call three times about this-just get it sorted, or I'm taking my business elsewhere.",3,third_call,explicit_anger,business_user,closing,"Speak as an angry customer on a phone call to support. The voice should sound assertive, confrontational, and clearly upset. Intensity: noticeably tense, with clear emotional weight (3/5). Style: raise volume on emphatic words, tight clipped pacing. Persona: professional register, time-conscious. Turn position: this is near the end of the call. Be vividly expressive - DO NOT understate the anger. Speak with energy and momentum; clipped pacing, sharp emphasis on key words. AVOID long pauses or drawn-out delivery. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.5,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/anger/anger_02197_shimmer.wav,1778107216.8953197
frust_04914,nova,frustration,1,"Oh, fantastic, thanks for all your *help*. I'll be sure to recommend this stellar service to everyone I know.",5,rude_agent,sarcastic,business_user,closing,"Speak as a frustrated customer who has been struggling with the same issue. The voice should convey weariness, repeated effort wasted, and growing impatience. Intensity: very intense, almost explosive, on the edge of losing composure (5/5). Style: drawn-out sarcastic intonation, eye-rolling implied. Persona: professional register, time-conscious. Turn position: this is near the end of the call. Convey weariness and exasperation without flatness. Use a natural conversational pace with audible tension. Avoid drawn-out delivery; the speaker is impatient. Sound like a real person on a phone call, not narrating. Single take, no music or sound effects, no audible distortion.",6.95,16000,gpt-4o-mini-tts,data/synthetic/smoke_audio/frustration/frust_04914_nova.wav,1778107217.157204
