audio_id,text,true_label,true_label_id,prob_anger,prob_frust,prob_sadne,prob_neutr,prob_satis,goemo_anger,goemo_disgust,goemo_fear,goemo_joy,goemo_neutral,goemo_sadness,vader_pos,vader_neg,vader_neu,vader_compound,audio_anger,audio_frust,audio_sad,audio_neut,audio_satis
train_00000,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,3,0.00286865234375,0.0003333091735839,0.0007562637329101,0.98779296875,0.0084686279296875,0.0117119560018181,0.0099033517763018,0.0233330260962247,0.020589055493474,0.8412572145462036,0.0318422131240367,0.0,0.0,1.0,0.0,0.09399414,0.18237305,0.04232788,0.53564453,0.14550781
train_00001,You mustve had your hands full.,neutral,3,0.0028038024902343,0.0005393028259277,0.0014200210571289,0.99267578125,0.0025997161865234,0.2114917486906051,0.1455892622470855,0.0712290406227111,0.0288706328719854,0.3896889090538025,0.066029168665409,0.0,0.0,1.0,0.0,0.10290527,0.050323486,0.0362854,0.5678711,0.24243164
train_00002,No dont I beg of you!,frustration,1,0.34033203125,0.6484375,0.00970458984375,0.0004796981811523,0.0010871887207031,0.3293710649013519,0.0131114143878221,0.6050061583518982,0.0071373060345649,0.0070270081050693,0.0228935051709413,0.0,0.333,0.667,-0.3595,0.099487305,0.060913086,0.027252197,0.49902344,0.31347656
train_00003,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,3,0.000683307647705,0.0011568069458007,0.0015296936035156,0.99267578125,0.0038356781005859,0.021566342562437,0.0182787142693996,0.0281872823834419,0.2463619410991668,0.6660531759262085,0.0128391897305846,0.351,0.0,0.649,0.8979,0.07269287,0.67041016,0.11352539,0.094055176,0.04928589
train_00004,Absolutely.  You can relax,neutral,3,0.0008845329284667,0.0001113414764404,0.0004353523254394,0.9970703125,0.001713752746582,0.0074630011804401,0.0101251117885112,0.0044316789135336,0.3447455763816833,0.5786684155464172,0.0482663959264755,0.513,0.0,0.487,0.4877,0.07324219,0.13671875,0.07116699,0.4790039,0.23999023
train_00005,That I did. That I did.,neutral,3,0.256103515625,0.0034427642822265,0.001530647277832,0.59521484375,0.143798828125,0.0726543217897415,0.0298899579793214,0.0058666090480983,0.0149106690660119,0.8523058295249939,0.0189751628786325,0.0,0.0,1.0,0.0,0.06774902,0.07788086,0.10845947,0.49804688,0.2479248
train_00006,So lets talk a little bit about your duties.,neutral,3,0.0001587867736816,3.93986701965332e-05,9.41753387451172e-05,0.9990234375,0.0004835128784179,0.0285698417574167,0.0604386255145072,0.0173750445246696,0.0318901613354682,0.8402497172355652,0.0180476251989603,0.0,0.0,1.0,0.0,0.16760254,0.15368652,0.03552246,0.40454102,0.23864746
train_00007,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,3,0.0007271766662597,6.0439109802246094e-05,0.0001978874206542,0.99560546875,0.0034370422363281,0.038508117198944,0.0378790311515331,0.0076737035997211,0.0107140764594078,0.8789054751396179,0.0099662384018301,0.0,0.0,1.0,0.0,0.14416504,0.21582031,0.05215454,0.41845703,0.16955566
train_00008,I see.,neutral,3,0.0011940002441406,0.000584602355957,0.0019588470458984,0.99609375,0.0003952980041503,0.0357085689902305,0.0867928266525268,0.0069647575728595,0.0205250661820173,0.1689569354057312,0.0047397627495229,0.0,0.0,1.0,0.0,0.14733887,0.13745117,0.040863037,0.48779297,0.18652344
train_00009,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,3,0.0034713745117187,6.794929504394531e-05,0.0001124739646911,0.9873046875,0.0090484619140625,0.013563722372055,0.0172076467424631,0.0049851178191602,0.0101570878177881,0.9249765872955322,0.0104607613757252,0.124,0.177,0.699,-0.2836,0.12683105,0.31591797,0.08300781,0.34716797,0.12731934
