audio_id,text,true_label,predicted_class,confidence,p_handover,severity,tier,meta_prob_anger,meta_prob_frustration,meta_prob_sadness,meta_prob_neutral,meta_prob_satisfaction,prob_anger,prob_frust,prob_sadne,prob_neutr,prob_satis,goemo_anger,goemo_disgust,goemo_fear,goemo_joy,goemo_neutral,goemo_sadness,vader_pos,vader_neg,vader_neu,vader_compound,sb_ang,sb_hap,sb_sad,sb_neu
test_00760,"No seriously, yknow the contracts I gave you, did you overnight them?",frustration,neutral,0.9998987,3.8592276e-05,3,A_FN_frustration,2.9584104e-05,9.00817e-06,1.5330374e-05,0.9998987,4.74482e-05,2.9206275939941406e-06,2.443790435791016e-06,3.874301910400391e-06,1.0,5.960464477539063e-06,0.6206908226013184,0.1518581658601761,0.0383445248007774,0.0160312093794345,0.0502796620130538,0.0149059379473328,0.121,0.0,0.879,0.1326,0.1410701721906662,0.1491203755140304,0.0013926372630521,0.7084168791770935
test_01572,"She's not gonna make you wear one of those big plastic cones, is she?",frustration,neutral,0.99989164,3.5446385e-05,3,A_FN_frustration,2.6919468e-05,8.526916e-06,1.6157479e-05,0.99989164,5.6714984e-05,0.03192138671875,8.344650268554688e-06,1.3828277587890623e-05,0.96826171875,2.9861927032470703e-05,0.3376611471176147,0.3688157796859741,0.0164665784686803,0.0101997898891568,0.1217232048511505,0.0483654402196407,0.0,0.0,1.0,0.0,0.0094906203448772,0.7655324935913086,0.0023313511628657,0.2226455062627792
test_02254,"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",frustration,neutral,0.99985266,4.471793e-05,3,A_FN_frustration,2.5268613e-05,1.9449317e-05,9.930167e-06,0.99985266,9.275715e-05,0.0032920837402343,3.713369369506836e-05,7.212162017822266e-06,0.99267578125,0.0038738250732421,0.0184463188052177,0.0596592985093593,0.0095584196969866,0.0087075782939791,0.8635490536689758,0.0059488271363079,0.0,0.0,1.0,0.0,0.0168731771409511,0.4265038669109344,0.0101281991228461,0.546494722366333
test_00501,"Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way.",frustration,neutral,0.99985087,5.1446692e-05,3,A_FN_frustration,4.4729135e-05,6.7175565e-06,1.0907456e-05,0.99985087,8.672914e-05,0.0127182006835937,0.0004377365112304,9.715557098388672e-06,0.98681640625,0.0001686811447143,0.021839290857315,0.6668577790260315,0.0163593329489231,0.0124754551798105,0.2619136571884155,0.0114006949588656,0.287,0.088,0.625,0.6597,0.0212995205074548,0.9082583785057068,0.0011251462856307,0.0693169757723808
test_00012,Where are you Leslie?,frustration,neutral,0.9998485,5.4310214e-05,3,A_FN_frustration,3.2299133e-05,2.2011081e-05,1.5011585e-05,0.9998485,8.211699e-05,0.0033531188964843,1.5497207641601562e-06,1.3649463653564451e-05,0.9951171875,0.0013294219970703,0.0151144498959183,0.0092912958934903,0.0148828383535146,0.0038521811366081,0.5733093023300171,0.0278856921941041,0.0,0.0,1.0,0.0,0.0044719176366925,0.1568842083215713,0.0028034537099301,0.8358404040336609
test_00037,"Do you have a minute? Id like to talk to you about something Im, Im really uncomfortable talking about.",frustration,neutral,0.9998215,9.0033434e-05,3,A_FN_frustration,5.8880476e-05,3.115296e-05,2.3667573e-05,0.9998215,6.484677e-05,3.522634506225586e-05,0.0277252197265625,0.003448486328125,0.96875,0.0001722574234008,0.0268885120749473,0.332238107919693,0.4732212126255035,0.0178396739065647,0.0703289732336998,0.0412414073944091,0.112,0.129,0.759,-0.101,0.0009412828367203,0.580348789691925,0.1337138265371322,0.2849961221218109
test_00156,"Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",frustration,neutral,0.99981326,6.678099e-05,3,A_FN_frustration,4.221892e-05,2.4562069e-05,2.8836774e-05,0.99981326,9.114286e-05,0.000582218170166,0.0001349449157714,1.996755599975586e-05,0.998046875,0.0014495849609375,0.102784439921379,0.074145883321762,0.1652209907770156,0.005547019187361,0.0491486303508281,0.0119600249454379,0.0,0.0,1.0,0.0,0.2575265765190124,0.5008459091186523,0.0036374141927808,0.2379901111125946
test_01712,"Look, we have enough, just walk away.",frustration,neutral,0.9998093,5.2929085e-05,3,A_FN_frustration,3.1595213e-05,2.133387e-05,1.500706e-05,0.9998093,0.00012281138,0.02374267578125,2.86102294921875e-06,1.0967254638671877e-05,0.96533203125,0.0109634399414062,0.1169449165463447,0.0865695029497146,0.0108822146430611,0.0086997086182236,0.7637779116630554,0.0091007240116596,0.0,0.0,1.0,0.0,0.1396286785602569,0.6754530668258667,0.1154040247201919,0.0695143342018127
test_01978,"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?",frustration,neutral,0.99980265,9.01949e-05,3,A_FN_frustration,5.8327976e-05,3.1866926e-05,2.8430877e-05,0.99980265,7.8732744e-05,4.529953002929688e-06,0.0007729530334472,0.0010261535644531,0.998046875,0.0001147985458374,0.1496194303035736,0.023911889642477,0.6489083766937256,0.0041531221941113,0.1176288872957229,0.0351788029074668,0.103,0.0,0.897,0.2406,0.1808841675519943,0.3983632624149322,0.0382661819458007,0.382486343383789
test_00009,Where is Leslie?,frustration,neutral,0.9998022,5.1116644e-05,3,A_FN_frustration,3.2170738e-05,1.8945904e-05,1.7564425e-05,0.9998022,0.00012914916,4.76837158203125e-06,4.649162292480469e-06,0.0062294006347656,0.9931640625,0.000795841217041,0.0071211787872016,0.0086117396131157,0.0106131061911582,0.0024783695116639,0.6502596139907837,0.045125026255846,0.0,0.0,1.0,0.0,0.0128934551030397,0.9277600646018982,0.0007180165848694,0.0586284473538398
